"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
pre_ecls_lvad_i;preimpella;;dropdown;LVAD;"1, Heartware|2, Heartmate III|3, Heartmate II";;;;;;"[pre_mcs_i(6)] = '1'";;;;;;
pre_ecls_lvad_date_i;preimpella;;text;"Date of Implantation";;;date_dmy;1990-01-01;2030-01-01;;"[pre_mcs_i(6)] = '1'";;;;;;
pre_renal_repl_i;preimpella;" ";yesno;"Renal Replacement Therapy";;"chronic hemodialysis, home peritioneal dialysis or any renal replacement therapy 24h prior to ECLS";;;;;"[pre_ecmella_2_0] = '0'";;RH;;;;
pre_renal_repl_spec_i;preimpella;;dropdown;"<div class=""rich-text-field-label""><p>Specific Renal Replacement Therapy</p></div>";"1, chronic hemodialysis|2, home peritoneal dialysis|3, hemodialysis due to AKI|4, CVVHDF due to AKI";;;;;;"[pre_renal_repl_i] = '1'";;;;;;
pre_renal_repl_start_i;preimpella;;text;"<div class=""rich-text-field-label""><p>Start date of Renal Replacement Therapy</p></div>";;;date_dmy;1990-01-01;2030-01-01;;"[pre_renal_repl_spec_i] = '3' and [pre_renal_repl_spec_i] = '4'";;;;;;
pre_ap_i;preimpella;" ";radio;"Angina pectoris";"1, none|2, CCS I|3, CCS II|4, CCS III|5, CCS IV|6, non-typical|7, unknown";;;;;;"[pre_ecmella_2_0] = '0'";;;;;;
pre_nyha_i;preimpella;;radio;"NYHA score";"1, NYHA I|2, NYHA II|3, NYHA III|4, NYHA IV";;;;;;"[pre_ecmella_2_0] = '0'";;;;;;
pre_arrhythmia_i;preimpella;" ";yesno;"Cardiac Arrhythmia ";;"24h pre Impella";;;;;"[pre_ecmella_2_0] = '0'";;RH;;;;
pre_arrhythmia_spec_i;preimpella;;checkbox;"Cardiac Arrhythmia";"1, Atrial Fibrillation|2, Atrial Flutter|3, Ventricular Tachycardia|4, Ventricular Fibrillation|5, AV-Block II|6, AV-Block III|7, Sinus node dysfunction";;;;;;"[pre_arrhythmia_i] = '1'";;;;;;
pre_vasoactive_i;preimpella;" ";checkbox;"Vasoactive Infusion";"1, Dobutamine|2, Dopamine|3, Enoximone|4, Epinephrine|5, Esmolol|6, Levosimendan|7, Metaraminol|8, Metoprolol|9, Milrinone|10, Nicardipine|11, Nitroglycerin|12, Nitroprusside|13, Norepinephrine|14, Phenylephrine|15, Tolazoline|16, Empressin|17, None";;;;;;"[pre_ecmella_2_0] = '0'";y;;;;;" @NONEOFTHEABOVE=17"
pre_dobutamine_i;preimpella;;text;"Dobutamine Dose";;"µg/kg/min ";number_2dp_comma_decimal;0,01;10,00;;"[pre_vasoactive_i(1)] = '1'";;;;;;
pre_epinephrine_i;preimpella;;text;"Epinephrine Dose ";;µg/kg/min;number_2dp_comma_decimal;0,01;1,00;;"[pre_vasoactive_i(4)] = '1'";;;;;;
pre_norepinephrine_i;preimpella;;text;"Norepinephrine Dose";;µg/kg/min;number_2dp_comma_decimal;0,01;1,00;;"[pre_vasoactive_i(13)] = '1'";;;;;;
pre_vasopressin_i;preimpella;;text;"Empressin Dose";;"U/kg/min x 10 000";number_1dp_comma_decimal;0,5;10,0;;"[pre_vasoactive_i(16)] = '1'";;;;;;
pre_milrinone_i;preimpella;;text;"Milrinone Dose";;µg/kg/min;number_2dp_comma_decimal;0,01;1,00;;"[pre_vasoactive_i(9)] = '1'";;;;;;
pre_vis_i;preimpella;;calc;"PRE VIS";sum([pre_dobutamine_i],([pre_epinephrine_i]*100),([pre_milrinone_i]*10),([pre_norepinephrine_i]*100),[pre_vasopressin_i]);;;;;;;;;;;;
pre_organ_support_i;preimpella;" ";checkbox;"Other Organ Support";"1, Inhaled Anesthetic|2, Inhalted Epoprostenol|3, Inhaled Nitric Oxide|4, Liquid Ventilation|5, Surfactant|6, Plasmapheresis|7, Therapeutic Hypothermia < 35°C degrees C|9, MARS|10, Cytosorb|8, None";"24 hours prior to ECLS";;;;;"[pre_ecmella_2_0] = '0'";;;;;;" @NONEOFTHEABOVE=8"
pre_med_i;preimpella;;checkbox;Medication;"1, Alprostadil|2, IV Bicarbonate|3, Prostacyclin Analogues|4, Narcotics|5, Neuromuscular blockers|6, Sildenafil|7, Systemic Steriods|8, THAM|9, None";"used within 24 hours prior ECLS for at least 6 hours or systemically";;;;;"[pre_ecmella_2_0] = '0'";;;;;;" @NONEOFTHEABOVE=9"
pre_ecmella_2_0_2;preimpella_hemodynamics_ventilation_labor;;yesno;"Implantation of ECLS and Impella in same session?

for example ECMELLA 2.0?";;;;;;;;;RH;;;;
pre_bga_i;preimpella_hemodynamics_ventilation_labor;"<div class=""rich-text-field-label""><p>Pre-Impella Arterial Blood Gas<br /><span style=""font-weight: normal;"">1. Drawn prior to the Impella</span><span style=""font-weight: normal;""> Start Time<br /></span><span style=""font-weight: normal;"">2. Drawn no more than 6 hours before the Impella Start Time </span><br /><span style=""font-weight: normal;"">3. If multiple arterial blood gases exist in this time period, choose the pre arterial blood gas closest to AND before the Impella Start Time </span><br /><span style=""font-weight: normal;"">4. If the patient is on cardiopulmonary bypass immediately preceding Impella please use a blood gas prior to</span> <span style=""font-weight: normal;"">cardiopulmonary bypass</span></p></div>";yesno;"Pre-Impella Arterial Blood Gas results available?";;;;;;;[pre_ecmella_2_0_2]='0';y;RH;;;;
reason_bga_i;preimpella_hemodynamics_ventilation_labor;;notes;"Reason for missing Arterial Blood Gas results";;;;;;;"[pre_bga_i] = '0'";;;;;;
pre_assess_date_i;preimpella_hemodynamics_ventilation_labor;;text;"Date of Assessment";;;date_dmy;1990-01-01;2030-01-01;;"[pre_bga_i] = '1'";y;;;;;
pre_assess_time_i;preimpella_hemodynamics_ventilation_labor;;text;"Time of Assessment";;"closest to Impella start (no more than 6 hours prior)";time;;;;"[pre_bga_i] = '1'";;;;;;
pre_pco2_i;preimpella_hemodynamics_ventilation_labor;;text;pCO2;;mmHg;number_1dp_comma_decimal;15,0;120,0;;"[pre_bga_i] = '1'";;;;;;
pre_p02_i;preimpella_hemodynamics_ventilation_labor;;text;pO2;;mmHg;number_1dp_comma_decimal;20,0;600,0;;"[pre_bga_i] = '1'";;;;;;
pre_ph_i;preimpella_hemodynamics_ventilation_labor;;text;"pH ";;;number_2dp_comma_decimal;6,80;7,70;;"[pre_bga_i] = '1'";;;;;;
pre_hco3_i;preimpella_hemodynamics_ventilation_labor;;text;HCO3;;mmol/L;number_1dp_comma_decimal;5,0;50,0;;"[pre_bga_i] = '1'";;;;;;
pre_be_i;preimpella_hemodynamics_ventilation_labor;;text;"BE ";;mmol/L;number_1dp_comma_decimal;-25,0;25,0;;"[pre_bga_i] = '1'";;;;;;
pre_k_i;preimpella_hemodynamics_ventilation_labor;;text;"<div class=""rich-text-field-label""><p>Kalium</p></div>";;mmol/L;number_1dp_comma_decimal;1,5;9,0;;"[pre_bga_i] = '1'";;;;;;
pre_na_i;preimpella_hemodynamics_ventilation_labor;;text;"<div class=""rich-text-field-label""><p>Natrium</p></div>";;mmol/L;number;110;160;;"[pre_bga_i] = '1'";;;;;;
pre_sa02_i;preimpella_hemodynamics_ventilation_labor;;text;Sa02;;%;number_1dp_comma_decimal;30,0;100,0;;"[pre_bga_i] = '1'";;;;;;
pre_gluc_i;preimpella_hemodynamics_ventilation_labor;;text;Glucose;;mg/dL;number;20;500;;"[pre_bga_i] = '1'";;;;;;
pre_lactate_i;preimpella_hemodynamics_ventilation_labor;;text;Lactate;;mg/dL;number;1;250;;"[pre_bga_i] = '1'";;;;;;
pre_svo2_m_i;preimpella_hemodynamics_ventilation_labor;;yesno;"Sv02 measured?";;;;;;;"[pre_bga_i] = '1'";y;RH;;;;
pre_svo2_i;preimpella_hemodynamics_ventilation_labor;;text;"Svo2 ";;"% (preferably from the pulmonary artery) ";number_1dp_comma_decimal;15,0;100,0;;[pre_svo2_m_i]='1';;;;;;
pre_vent_i;preimpella_hemodynamics_ventilation_labor;"<div class=""rich-text-field-label""><p>Pre-Impella Ventilator Settings<br /><span style=""font-weight: normal;"">If multiple ventilator settings exist, report the last reported ventilator settings before the Impella Start Time. </span></p></div>";yesno;"Ventilation Parameters available? ";;;;;;;"[pre_ecmella_2_0_2] = '0'";;RH;;;;
reason_vent_i;preimpella_hemodynamics_ventilation_labor;;notes;"Reason for missing Ventilation Parameters";;;;;;;[pre_vent_i]='0';;;;;;
pre_ventilation_i;preimpella_hemodynamics_ventilation_labor;;radio;Ventilation;"5, Invasive Ventilation|1, Non invasive Ventilation|6, High Flow Therapy|7, Hand Bag Valve Ventilation|4, No ventilation";;;;;;[pre_vent_i]='1';y;;;;;
pre_02l_i;preimpella_hemodynamics_ventilation_labor;;text;"O2 ";;L/min;number;1;20;;"[pre_ventilation_i] = '4' and [pre_vent_i] = '1'";;;;;;
pre_fi02_i;preimpella_hemodynamics_ventilation_labor;;text;Fi02;;%;number;20;100;;"[pre_ventilation_i] = '5' and [pre_vent_i]='1' or [pre_ventilation_i] = '1' and [pre_vent_i]='1' or [pre_ventilation_i] = '6' and [pre_vent_i]='1'";;;;;;
pre_vent_spec_i;preimpella_hemodynamics_ventilation_labor;;dropdown;"Ventilation Specifics";"1, IPPV|2, BIPAP|3, SIMV|4, ASB|5, PC-BIPAP|6, PC-PSV|7, PC-CMV|8, PC-SIMV|9, PC-PC-APRV|10, PC-AC|11, VC-CMV|12, VC-SIMV|13, VC-MMV|14, VC-AC|15, SPN-CPAP/PS|16, BiLevel|17, A/C VC|18, A/C PC|19, A/C PRVC|20, SIMV-VC|21, SIMV-PC|22, BiLevel-VG|23, CPAP/PS|24, SBT|25, NIV";;;;;;"[pre_ventilation_i] = '5' and [pre_vent_i]='1' or [pre_ventilation_i] = '1' and [pre_vent_i]='1'";;;;;;
pre_vent_type_i;preimpella_hemodynamics_ventilation_labor;;radio;"Ventilator Type";"1, Conventional|2, HFO";;;;;;"[pre_ventilation_i] = '5' and [pre_vent_i]='1' or [pre_ventilation_i] = '1' and [pre_vent_i]='1'";;;;;;
pre_hfv_rate_i;preimpella_hemodynamics_ventilation_labor;;text;"High Frequency Ventilation Rate";;;number;1;1000;;"[pre_vent_type_i] = '2' and [pre_vent_i]='1'";;;;;;
pre_conv_vent_rate_i;preimpella_hemodynamics_ventilation_labor;;text;"Conventional Ventilation Rate";;;number;1;20;;"[pre_vent_type_i] = '1' and [pre_vent_i]='1'";;;;;;
pre_vent_map_i;preimpella_hemodynamics_ventilation_labor;;text;"Mean Airway Pressure";;mbar;number;1;40;;"[pre_ventilation_i] = '5' and [pre_vent_i]='1' or [pre_ventilation_i] = '1' and [pre_vent_i]='1'";;;;;;
pre_vent_pip_i;preimpella_hemodynamics_ventilation_labor;;text;"Peak Inspiratory Pressure";;mbar;number;1;45;;"[pre_ventilation_i] = '5' and [pre_vent_i]='1' or [pre_ventilation_i] = '1' and [pre_vent_i]='1'";;;;;;
pre_vent_peep_i;preimpella_hemodynamics_ventilation_labor;;text;"Positive end-exspiratory Pressure ";;mbar;number;1;30;;"[pre_ventilation_i] = '5' and [pre_vent_i]='1' or [pre_ventilation_i] = '1' and [pre_vent_i]='1'";;;;;;
pre_hemodynamics_i;preimpella_hemodynamics_ventilation_labor;" Hemodynamics ";yesno;"Hemodynamics pre Impella-Implantation available?";;;;;;;"[pre_ecmella_2_0_2] = '0'";y;RH;;;;
reason_hemodynamics_i;preimpella_hemodynamics_ventilation_labor;;text;"Reason for missing hemodynamics parameter";;;;;;;"[pre_hemodynamics_i] = '0'";;;;;;
pre_hr_i;preimpella_hemodynamics_ventilation_labor;;text;"Heart Rate";;;number;0;200;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_sys_bp_i;preimpella_hemodynamics_ventilation_labor;;text;"Systolic Blood Pressure";;mmHg;number;20;250;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_dia_bp_i;preimpella_hemodynamics_ventilation_labor;;text;"Diastolic Blood Pressure";;mmHg;number;20;200;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_mean_bp_i;preimpella_hemodynamics_ventilation_labor;;text;"Mean Blood Pressure";;mmHg;number;20;200;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_cvd_i;preimpella_hemodynamics_ventilation_labor;;text;"Central Venous Pressure";;mmHg;integer;0;30;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_sp02_i;preimpella_hemodynamics_ventilation_labor;;text;Sp02;;%;number_1dp_comma_decimal;20,0;100,0;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_temp_i;preimpella_hemodynamics_ventilation_labor;;text;"Temperature ";;;number_1dp_comma_decimal;34,0;40,0;;"[pre_hemodynamics_i] = '1'";;;;;;
pre_pac_i;preimpella_hemodynamics_ventilation_labor;;yesno;"Pulmonary Artery Catheter available";;;;;;;"[pre_hemodynamics_i] = '1'";;RH;;;;
pre_pcwp_i;preimpella_hemodynamics_ventilation_labor;;text;"Pulmonary Capillary Wedge Pressure ";;mmHg;number;0;25;;"[pre_pac_i] = '1'";;;;;;
pre_sys_pap_i;preimpella_hemodynamics_ventilation_labor;;text;"Systolic Pulmonary Arterial Pressure";;mmHg;number;0;100;;"[pre_pac_i] = '1'";;;;;;
pre_dia_pap_i;preimpella_hemodynamics_ventilation_labor;;text;"Diastolic Pulmonary Arterial Pressure";;mmHg;number;0;80;;"[pre_pac_i] = '1'";;;;;;
pre_mean_pap_i;preimpella_hemodynamics_ventilation_labor;;text;"Mean Pulmonary Arterial Pressure";;mmHg;number;0;80;;"[pre_pac_i] = '1'";;;;;;
pre_ci_i;preimpella_hemodynamics_ventilation_labor;;text;"Cardiac Index";;L/min/m²;number_1dp_comma_decimal;0,1;7,0;;"[pre_pac_i] = '1'";;;;;;
pre_neuro_i;preimpella_hemodynamics_ventilation_labor;"Neurology ";yesno;"Neurology Parameters available?";;;;;;;"[pre_ecmella_2_0_2] = '0'";;RH;;;;
pre_gcs_i;preimpella_hemodynamics_ventilation_labor;;text;"Glagow Coma Scale ";;;number;3;15;;"[pre_neuro_i]=""1""";;;;;;
reason_neuro_i;preimpella_hemodynamics_ventilation_labor;;radio;"Reason for missing Neurology Parameters";"1, sedated patient|2, not documented|3, not documented (sedated patient with transfer from other hospital)";;;;;;"[pre_neuro_i]=""0""";;;;;;
pre_lab_results_i;preimpella_hemodynamics_ventilation_labor;"<div class=""rich-text-field-label""><p>Labor <br /><span style=""font-weight: normal;"">1. Drawn prior to the Impella Start Time</span><br /><span style=""font-weight: normal;"">3. If multiple values exist in this time period, choose the labor closest to AND before the Impella Start Time</span><br /><span style=""font-weight: normal;"">4. If the patient is on cardiopulmonary bypass immediately preceding Impella please use labor prior to cardiopulmonary bypass</span></p></div>";yesno;"Laboratory results available?";;"24h pre Impella";;;;;"[pre_ecmella_2_0_2] = '0'";y;RH;;;;
reason_lab_result_i;preimpella_hemodynamics_ventilation_labor;;text;"Reason for missing laboratory results";;;;;;;"[pre_lab_results_i] = '0'";y;;;;;
pre_lab_results_imp;preimpella_hemodynamics_ventilation_labor;;radio;"Time of laboratory results purchase";"1, last 6 hours|2, last 24 hours";;;;;;[pre_lab_results_i]='1';;RH;;;;
pre_wbc_i;preimpella_hemodynamics_ventilation_labor;;text;"White Blood Cells";;K/µL;number_1dp_comma_decimal;0,1;30,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_hb_i;preimpella_hemodynamics_ventilation_labor;;text;Hemoglobin;;g/dl;number_1dp_comma_decimal;4,5;20,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_hct_i;preimpella_hemodynamics_ventilation_labor;;text;Hematocrit;;%;number_1dp_comma_decimal;20,0;60,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_mcv_i;preimpella_hemodynamics_ventilation_labor;;text;MCV;;fL;number_1dp_comma_decimal;70,0;99,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_mch_i;preimpella_hemodynamics_ventilation_labor;;text;MCH;;pg;number_1dp_comma_decimal;20,0;40,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_mchc_i;preimpella_hemodynamics_ventilation_labor;;text;MCHC;;g/dL;number_1dp_comma_decimal;30,0;40,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_ret_i;preimpella_hemodynamics_ventilation_labor;;text;"Reticulocytes ";;;number;;;;"[pre_lab_results_i] = '1'";;;;;;
pre_rpi_i;preimpella_hemodynamics_ventilation_labor;;text;"Reticulocyte Production Index";;;number;;;;"[pre_lab_results_i] = '1'";;;;;;
pre_rdw_i;preimpella_hemodynamics_ventilation_labor;;text;RDW;;;number_1dp_comma_decimal;10,0;15,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_plt_i;preimpella_hemodynamics_ventilation_labor;;text;Platelets;;K/µL;number;1;800;;"[pre_lab_results_i] = '1'";;;;;;
pre_crp_m_i;preimpella_hemodynamics_ventilation_labor;;yesno;"CRP measured? ";;;;;;;"[pre_lab_results_i] = '1'";y;RH;;;;
pre_crp_i;preimpella_hemodynamics_ventilation_labor;;text;CRP;;mg/dl;number_1dp_comma_decimal;1,0;50,0;;[pre_crp_m_i]='1';;;;;;
pre_pct_m_i;preimpella_hemodynamics_ventilation_labor;;yesno;"Procalcitonin measured?";;;;;;;[pre_lab_results_i]='1';y;RH;;;;
pre_pct_i;preimpella_hemodynamics_ventilation_labor;;text;Procalcitonin;;ng/ml;number_2dp_comma_decimal;0,00;10,00;;[pre_pct_m_i]='1';;;;;;
pre_alb_i;preimpella_hemodynamics_ventilation_labor;;text;"<div class=""rich-text-field-label""><p>Albumin</p></div>";;g/dl;number_1dp_comma_decimal;1,0;10,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_ptt_i;preimpella_hemodynamics_ventilation_labor;" ";text;PTT;;s;number_1dp_comma_decimal;22,0;180,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_quick_i;preimpella_hemodynamics_ventilation_labor;;text;Quick;;%;number;1;100;;"[pre_lab_results_i] = '1'";;;;;;
pre_inr_i;preimpella_hemodynamics_ventilation_labor;;text;INR;;;number_1dp_comma_decimal;1,0;8,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_act_m_i;preimpella_hemodynamics_ventilation_labor;;yesno;"ACT measured?";;;;;;;[pre_lab_results_i]='1';y;RH;;;;
pre_act_i;preimpella_hemodynamics_ventilation_labor;;text;ACT;;;number;90;800;;[pre_act_m_i]='1';;;;;;
pre_ck_i;preimpella_hemodynamics_ventilation_labor;" ";text;CK;;U/L;number;0;20000;;"[pre_lab_results_i] = '1'";;;;;;
pre_ckmb_i;preimpella_hemodynamics_ventilation_labor;;text;"CK - MB";;U/L;number;0;700;;"[pre_lab_results_i] = '1'";;;;;;
pre_got_i;preimpella_hemodynamics_ventilation_labor;;text;GOT;;U/L;number;1;1000;;"[pre_lab_results_i] = '1'";;;;;;
pre_ldh_i;preimpella_hemodynamics_ventilation_labor;;text;LDH;;U/L;number;1;20000;;"[pre_lab_results_i] = '1'";;;;;;
pre_lipase_i;preimpella_hemodynamics_ventilation_labor;;text;Lipase;;U/L;number_1dp_comma_decimal;4,0;200,0;;[pre_lab_results_i]='1';;;;;;
pre_crea_i;preimpella_hemodynamics_ventilation_labor;" ";text;Creatinin;;mg/dl;number_1dp_comma_decimal;0,1;7,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_urea_i;preimpella_hemodynamics_ventilation_labor;;text;Urea;;mg/dl;number_1dp_comma_decimal;10,0;300,0;;"[pre_lab_results_i] = '1'";;;;;;
pre_cc_i;preimpella_hemodynamics_ventilation_labor;;text;"Creatinine Clearance";;ml/min/1.73^-2;number_2dp_comma_decimal;1,00;150,00;;"[pre_lab_results_i] = '1'";;;;;;
pre_hemolysis_i;preimpella_hemodynamics_ventilation_labor;" ";yesno;"Hemolysis Parameter collected";;;;;;;"[pre_lab_results_i] = '1'";;RH;;;;
pre_fhb_i;preimpella_hemodynamics_ventilation_labor;;text;"free Hemoglobin ";;mg/dl;number_2dp_comma_decimal;0,00;200,00;;"[pre_hemolysis_i] = '1'";;;;;;
pre_hapto_i;preimpella_hemodynamics_ventilation_labor;;text;"Haptoglobin ";;mg/dl;number_1dp_comma_decimal;8,0;300,0;;"[pre_hemolysis_i] = '1'";;;;;;
pre_bili_i;preimpella_hemodynamics_ventilation_labor;;text;"Bilirubin (total)";;mg/dl;number_1dp_comma_decimal;0,1;40,0;;[pre_lab_results_i]='1';;;;;;
pre_trop_m_i;preimpella_hemodynamics_ventilation_labor;" ";yesno;"Troponin measured? ";;;;;;;[pre_lab_results_i]='1';;RH;;;;
pre_trop_i;preimpella_hemodynamics_ventilation_labor;;text;Troponin;;;number;0;100;;[pre_trop_m_i]='1';;;;;;
age_arm_3;mode_and_equipment_impella;;calc;"Age Arm 3";"round(datediff([baseline_arm_3][birthdate],[impella_arm_3][impella_start_date][1],""y""))";;;;;;;;;;;;
impella_start_date;mode_and_equipment_impella;;text;"Start Date";;;date_dmy;2010-01-01;2030-01-01;;;;;;;;
impella_start_time;mode_and_equipment_impella;;text;"Start Time ";;;time;;;;;;;;;;
impella_impl_place;mode_and_equipment_impella;;radio;"Place where Impella received";"1, Hybrid OR|2, Cath Lab";;;;;;;;RH;;;;
impella_impl_form;mode_and_equipment_impella;;radio;"Form of Impella Implantation";"1, interventional|2, surgical";;;;;;;;RH;;;;
impella_type;mode_and_equipment_impella;;dropdown;"Impella Type";"1, Impella 2.5|2, Impella CP|3, Impella 5.0|4, Impella 5.5|5, Impella RP";;;;;;;;;;;;
impella_sn;mode_and_equipment_impella;;text;"Impella Serial Number";;;number;100000;310000;;;;;;;;
impella_access_site;mode_and_equipment_impella;;dropdown;"Access site";"1, Ascending Aorta|2, Arteria axillaris right|3, Arteria axillaris left|4, Arteria femoralis right|5, Arteria femoralis left|6, Vena femoralis right|7, Vena femoralis left";;;;;;;y;;;;;
impella_stop_date;mode_and_equipment_impella;;text;"Stop Date";;;date_dmy;2010-01-01;2030-01-01;;;;;;;;
impella_stop_time;mode_and_equipment_impella;;text;"Stop Time";;;time;;;;;;;;;;
impella_expl_place;mode_and_equipment_impella;;radio;"Place of Impella explantation";"1, Operating Room|2, Hybrid OR|3, Cath Lab|4, ICU";;;;;;;;RH;;;;
impella_replace;mode_and_equipment_impella;;yesno;"System Removal and Replacement? ";;;;;;;;;RH;;;;
impella_system_removal;mode_and_equipment_impella;;descriptive;"<div class=""rich-text-field-label""><p>Pump Upgrade: <span style=""font-weight: normal;"">Blood pump replaced for more efficient blood pump (Change Impella CP to Impella 5.5)</span><br />Mechanical replacement: <span style=""font-weight: normal;"">Blood pump replaced for failure or suspected failure of normal mechanical operation</span><br />Thrombosis / coagulopathy: <span style=""font-weight: normal;"">Device exchange primarily indicated by clot burden or coagulation derangement</span><br />Hemolysis: <span style=""font-weight: normal;"">Device exchange primarily indicated by center-specific markers of hemolysis (for example, plasma free hemoglobin, lactate dehydrogenase, haptoglobin or bilirubin)</span><br />Equipment longevity / center protocol: <span style=""font-weight: normal;"">Device exchange indicated by center-specific protocol regarding longevity of use without evidence of other derangement. </span><br />Entire circuit replaced following temporary transition to bypass: <span style=""font-weight: normal;"">Device exchanged during whole circuit exchange following temporary transition of patient mechanical support to cardiopulmonary bypass </span></p></div>";;;;;;;"[impella_replace]=""1""";;;;;;
impella_replace_reason;mode_and_equipment_impella;;radio;"Reason for System Removal";"1, Pump Upgrade|2, Mechanical replacement|3, Thrombosis/Coagulopathy|4, Hemolysis|5, Equipment longevity/Center protocol|6, Entire Circuit replaced following temporary Transition to Bypass|8, permanent LVAD implantation|7, {impella_reason_other}";;;;;;"[impella_replace]=""1""";;;;;;
impella_reason_other;mode_and_equipment_impella;;notes;"Other Reason for System Removal";;;;;;;;;;;;;
impella_site_expl;mode_and_equipment_impella;;yesno;"Change of Impella Access site or final Impella Explantation?";;;;;;;;;RH;;;;
impella_site_expl_spec;mode_and_equipment_impella;;radio;"Form of final Impella Explantation";"1, Ligation of Prosthesis|2, Total Removal of Prosthesis without vascular reconstruction|3, Total Removal of Prosthesis with vascular reconstruction|5, Device Removal without vascular reconstruction|6, Device Removal with vascular reconstruction|4, Closure Device";;;;;;"[impella_site_expl]=""1""";;;;;;
imp_vasc_reconstruction;mode_and_equipment_impella;;notes;"Surgical Procedure of Vascular Reconstruction";;;;;;;"[impella_site_expl_spec] = '6' or [impella_site_expl_spec] = '3'";;;;;;
imp_closure_device;mode_and_equipment_impella;;radio;"Type of Closure Device";"1, Manta Device|2, Angioseal Device|3, Proglide  Device|5, Closer Device";;;;;;"[impella_site_expl_spec] = '4'";;;;;;
imp_closure_device_size;mode_and_equipment_impella;;text;"Size of Closure Device";;F;number;;;;"[impella_site_expl_spec] = '4'";;;;;;
imp_compl_time_point;impellaassessment_and_complications;;dropdown;"Time Point";"1, 24h (day 1)|2, 48h (day 2)|3, 72h (day 3)|4, 96h (day 4)|5, 120h (day 5)|6, 144h (day 6)|7, 168h (day 7)|8, 192h (day 8)|9, 216h (day 9)|10, 240h (day 10)|11, day 11|12, day 12|13, day 13|14, day 14|15, day 15|16, day 16|17, day 17|18, day 18|19, day 19|20, day 20|21, day 21|22, day 22|23, day 23|24, day 24|25, day 25|26, day 26|27, day 27|28, day 28|29, day 29|30, day 30|31, day 31|32, day 32|33, day 33|34, day 34|35, day 35|36, day 36|37, day 37|38, day 38|39, day 39|40, day 40|41, day 41|42, day 42|43, day 43|44, day 44|45, day 45|46, day 46|47, day 47|48, day 48|49, day 49|50, day 50";;;;;;;;;;;;
imp_compl_date;impellaassessment_and_complications;;text;"Date of Assessment";;;date_dmy;;;;;;RH;;;;
imp_level;impellaassessment_and_complications;;text;"Pump Level";;;number;1;9;;;;RH;;;;
imp_p_level;impellaassessment_and_complications;;radio;"Pump Level";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9";;;;;;;;RH;;;;
imp_flow;impellaassessment_and_complications;;text;"Pump Flow";;L/min;number_1dp_comma_decimal;0,5;6,0;;;;;;;;
imp_purge_pressure;impellaassessment_and_complications;;text;"Purge Pressure ";;mmHg;number;1;1000;;;;RH;;;;
imp_purge_flow;impellaassessment_and_complications;;text;"Purge Flow";;ml/h;number_1dp_comma_decimal;0,1;20,0;;;;RH;;;;
imp_rpm;impellaassessment_and_complications;;text;"Mean Revolutions per Minute";;;number_2dp_comma_decimal;5000,00;40000,00;;;;RH;;;;
imp_alarm;impellaassessment_and_complications;;yesno;"Mechanical Complications / Alarm";;;;;;;;;RH;;;;
imp_position_wrong;impellaassessment_and_complications;;yesno;"Alarm position wrong";;;;;;;[imp_alarm]='1';;RH;;;;
imp_position_wrong_spec;impellaassessment_and_complications;;radio;"Impella position in case of Alarm position wrong";"1, Aorta|2, Ventricle";;;;;;[imp_position_wrong]='1';;RH;;;;
imp_suction;impellaassessment_and_complications;;yesno;"Alarm suction";;;;;;;[imp_alarm]='1';;RH;;;;
imp_position_unknown;impellaassessment_and_complications;;yesno;"Alarm position unknown";;;;;;;[imp_alarm]='1';;RH;;;;
imp_high_purge_pr;impellaassessment_and_complications;;yesno;"Alarm high purge pressure";;;;;;;[imp_alarm]='1';;RH;;;;
imp_thrombolytic;impellaassessment_and_complications;;yesno;"Use of thrombolytic therapy?";;;;;;;"[imp_high_purge_pr] = '1'";;RH;;;;
imp_exchange;impellaassessment_and_complications;;yesno;"Need for device exchange? ";;;;;;;"[imp_high_purge_pr] = '1'";;RH;;;;
imp_reposition;impellaassessment_and_complications;;yesno;"Need for Repositioning?";;;;;;;[imp_alarm]='1';;RH;;;;
